SpMaxL, JDz(e),nHM,F01,F04,NssssC, C,class
4.49,3.64,0,0,2,0,28.6,NRB
3.88,2.85,0,0,0,0,29.6,NRB
5.28,4.96,0,0,0,4,29.6,NRB
5.33,4.77,0,0,0,2,25.6,NRB
4.48,3.91,0,0,0,0,27.3,NRB
4.41,3.34,0,0,4,0,32.2,NRB
4.38,3.37,0,2,4,0,23.1,NRB
4.95,4.36,2,0,0,0,28.6,NRB
4.68,4.57,0,0,0,0,27.3,NRB
5.18,4.19,3,0,0,0,21.1,NRB
5.6,5.16,1,0,0,0,20.7,NRB
5.27,5.15,7,0,0,0,25.7,NRB
5.18,3.99,1,0,0,0,25,NRB
5.51,5.45,2,0,0,0,29.6,NRB
5.35,4.44,1,0,0,0,29.8,NRB
5.33,4.54,1,0,0,0,31.7,NRB
4.48,3.86,0,0,0,0,36,NRB
5.33,4.71,0,0,0,2,27.9,NRB
5.51,2.63,3,0,0,0,48,NRB
5.14,3.65,3,0,0,0,46.7,NRB
4.73,3.03,0,0,1,0,40,NRB
4.91,3.29,0,0,2,0,40,NRB
4.73,3.21,0,0,3,0,40,NRB
4.62,2.82,0,0,1,0,39.1,NRB
4.78,3.13,0,0,1,0,40,NRB
4.75,2.05,0,0,5,0,40.9,NRB
4.74,2.18,0,0,3,0,42.9,NRB
4.88,1.83,0,0,1,0,40,NRB
4.6,3.18,0,0,2,0,37.5,NRB
4.6,3.21,1,0,1,0,42.9,NRB
4.73,3.27,1,0,1,0,42.9,NRB
4.77,2.92,0,0,1,0,39.1,NRB
5.01,1.9,0,0,1,0,39.4,NRB
4.8,3.4,0,0,2,0,41.2,NRB
4.92,3.51,0,0,1,0,41.2,NRB
4.77,3.32,0,0,1,0,41.2,NRB
4.91,3.33,0,0,0,0,42.1,NRB
5.03,3.41,0,0,0,0,40.9,NRB
4.85,3.29,0,0,3,0,38.1,NRB
4.73,2.44,0,0,0,0,50,NRB
5.98,2.49,0,0,5,5,37.5,NRB
5.37,2.42,2,2,8,0,32.4,NRB
4.86,3.05,1,0,0,0,40.9,NRB
5.4,2.61,1,0,0,2,40,NRB
4.85,3.01,0,0,1,0,39.3,NRB
5.27,3.98,4,0,6,0,57.1,NRB
5.31,3.38,1,0,2,0,35,NRB
5.38,3.81,1,0,1,0,33.3,NRB
4.88,2.4,0,0,10,0,42.9,NRB
4.8,3.19,0,0,2,0,38.5,NRB
4.81,2.66,6,0,0,0,33.3,NRB
4.82,1.7,0,0,0,0,36.4,NRB
5.26,2.82,0,0,0,1,37.5,NRB
5.11,2.18,0,0,0,0,35.6,NRB
5.31,2.37,1,0,0,0,38.5,NRB
5.72,2.16,3,0,3,0,45.7,NRB
5.3,3.22,3,0,0,0,33.3,NRB
5.45,2.52,2,0,1,0,40,NRB
4.65,2.6,0,0,0,0,42.3,NRB
5.24,3.93,5,0,0,0,46.2,NRB
5.19,3.15,5,0,0,1,40,NRB
4.99,2.05,0,0,0,0,38.7,NRB
5.51,2.26,0,0,0,1,40.4,NRB
5.35,1.94,0,0,0,0,49.2,NRB
5.54,2.49,8,0,0,1,41.2,NRB
5.13,2.53,0,0,0,0,50,NRB
5.1,2,0,0,1,0,34.9,NRB
5.99,1.67,12,0,0,6,42.9,NRB
5.78,1.97,0,0,8,2,36.7,NRB
5.03,2.71,0,0,3,0,46.2,NRB
5.09,2.37,0,0,0,0,41.9,NRB
5.49,2.34,0,0,0,1,38.5,NRB
5.35,2.41,1,0,0,0,58.3,NRB
5.42,2.48,1,0,3,0,51.9,NRB
5.35,2.42,0,0,0,0,56,NRB
5.39,2.15,0,0,0,0,60,NRB
5.42,3.13,10,0,0,0,54.5,NRB
4.99,2.56,2,0,2,0,46.2,NRB
4.89,1.98,0,0,2,0,46.3,NRB
4.89,2.28,0,0,0,0,48.4,NRB
4.64,1.67,0,0,2,0,31.8,NRB
4.3,3.1,1,0,0,0,41.7,NRB
4.8,2.65,2,0,1,0,46.7,NRB
4.8,1.7,4,0,4,0,50,NRB
5.2,2.21,0,3,10,0,46.4,NRB
4.41,3.18,0,0,0,0,42.9,NRB
4.41,3.16,0,0,0,0,42.9,NRB
4.41,3.29,1,0,0,0,45.5,NRB
4.5,3.17,0,0,1,0,50,NRB
4.41,2.28,0,0,0,0,30,NRB
4.86,2.99,0,0,1,0,52.9,NRB
5.33,2.57,0,0,2,1,40,NRB
4.6,1.86,2,0,4,0,26.7,NRB
4,2.19,0,0,0,0,25,NRB
4.93,2.7,0,0,7,0,39.1,NRB
5.29,3.48,0,0,6,0,36.4,NRB
5.02,1.59,2,2,14,0,44.7,NRB
5.07,1.54,0,0,2,0,51.2,NRB
5.31,2.75,2,1,6,1,37.5,NRB
5.3,3.58,5,0,0,0,31,NRB
4.6,2.36,0,0,0,0,30.4,NRB
4.8,3.24,1,0,4,0,28,NRB
4.82,3.23,1,0,6,0,28.6,NRB
5.22,2.22,0,0,0,1,39.6,NRB
5.07,3.24,0,0,2,0,40.6,NRB
5.22,1.78,0,0,3,1,38.8,NRB
4.99,2.52,0,0,2,0,43.8,NRB
4.85,2.21,3,0,6,0,46.4,NRB
4.59,2.9,0,0,3,0,38.9,NRB
5.01,2.74,0,0,0,0,57.1,NRB
3.93,3.28,0,0,0,0,40,NRB
3,1.98,2,0,0,0,20,NRB
3,1.92,2,0,0,0,20,NRB
3.62,2.3,2,0,0,0,27.3,NRB
3.73,2.46,2,0,0,0,28.6,NRB
3.73,2.38,1,0,0,0,29.4,NRB
3.93,2.75,2,0,0,0,31.3,NRB
5.3,4,4,0,0,1,29.4,NRB
5.65,4.76,4,0,0,2,25,NRB
4.56,4.34,4,0,0,0,33.3,NRB
4.95,5.2,6,0,0,0,40,NRB
5.13,3.51,0,0,0,1,30,NRB
5.31,3.93,0,0,0,1,29,NRB
5.24,3.84,0,0,0,1,25,NRB
5.3,4.13,0,0,0,1,23.8,NRB
6.18,6.59,0,0,0,5,29.2,NRB
4.36,3.27,0,0,0,0,23.8,NRB
4.35,3.06,0,0,0,0,31,NRB
4.47,3.51,0,0,0,0,32.3,NRB
4.24,1.41,0,0,0,0,31.3,NRB
3.9,3.14,2,0,0,0,27.3,NRB
3.98,2.97,2,0,0,0,31.3,NRB
5.2,3.98,0,0,0,1,30.4,NRB
4.17,3.27,0,0,0,0,25,NRB
5.33,5.79,0,0,0,1,36,NRB
4.24,2.93,0,0,1,0,31.4,NRB
4.72,1.78,0,0,0,0,34.9,NRB
5.33,5.55,0,0,0,1,36.6,NRB
5.33,5.58,0,0,0,1,35.9,NRB
5.15,4.5,0,0,0,1,33.3,NRB
4.41,3.81,1,0,0,0,28.6,NRB
5.26,4.37,3,0,0,1,25,NRB
5.35,4.57,0,0,0,2,29.4,NRB
5.34,5.78,4,0,0,1,32.3,NRB
5.29,4.21,0,0,0,1,32,NRB
4,3.09,1,0,0,0,20,NRB
5.1,4.64,0,0,0,1,28.6,NRB
4.34,4,1,1,1,0,23.5,NRB
4.41,4.39,0,1,0,0,9.1,NRB
4.17,3.18,2,0,0,0,20,NRB
5.26,4.75,4,0,0,0,23.1,NRB
5.28,5.28,3,0,0,0,26.3,NRB
5.19,4.49,1,0,0,0,28.6,NRB
5.65,4.43,3,0,0,2,26.7,NRB
5.27,5.61,1,0,0,0,27.7,NRB
5.33,4.34,1,0,0,0,24.3,NRB
5.3,4.07,2,0,0,1,26.3,NRB
4.46,3.54,0,0,0,0,25,NRB
5.1,3.61,0,0,0,1,27.3,NRB
5.38,4.17,0,0,0,1,28.6,NRB
5.1,4.33,0,0,0,1,28.6,NRB
5.35,4.24,1,0,0,0,31.2,NRB
5.31,4.47,1,0,2,0,24.4,NRB
5.37,2.93,0,0,0,1,40.7,NRB
4.92,3.3,1,0,0,0,46.7,NRB
4.75,1.89,0,0,4,0,40,NRB
4.73,3.19,0,0,1,0,41.2,NRB
4.56,3.08,0,0,1,0,41.2,NRB
4.84,2.82,0,0,2,0,40.7,NRB
4.84,3.01,2,0,1,0,40.9,NRB
4.88,2.89,0,0,2,0,40,NRB
4.52,2.4,0,0,3,0,36,NRB
5.01,3.76,0,0,3,0,33.3,NRB
5.39,4.12,0,0,9,1,33.3,NRB
4.73,3.37,0,0,1,0,42.9,NRB
5.03,3.7,2,0,1,0,42.9,NRB
4.97,3.65,2,0,1,0,42.9,NRB
4.68,2.42,0,0,0,0,52.2,NRB
4.56,3.17,0,0,1,0,40,NRB
4.69,2.91,0,0,1,0,38.5,NRB
4.77,3.38,0,0,1,0,40,NRB
5.16,4.19,0,0,3,0,31.6,NRB
4.81,3.39,2,0,0,0,46.2,NRB
5.02,3.29,1,0,3,0,37.5,NRB
5.12,3.75,4,0,0,0,46.2,NRB
5.26,2.49,5,0,0,0,37.5,NRB
4.78,3.25,1,0,0,0,50,NRB
4.54,2.74,0,0,0,0,47.6,NRB
5.07,2.23,0,0,0,0,35.4,NRB
5.32,3.06,0,0,0,1,40.7,NRB
5.11,2.97,0,0,0,1,39.3,NRB
4.88,3.43,0,0,2,0,41.2,NRB
5.49,2.2,0,0,0,2,35,NRB
4.83,3.31,0,0,6,0,57.1,NRB
4.91,2.29,0,0,4,0,40.5,NRB
4,2,0,0,0,0,33.3,NRB
4.73,2.85,3,0,0,0,42.9,NRB
4.73,1.72,1,0,0,0,37.9,NRB
5.27,3.2,2,0,2,0,36,NRB
4.87,3.16,0,0,3,0,36,NRB
5.1,2.75,6,0,0,0,52.2,NRB
4.78,3.06,0,0,1,0,40,NRB
4.89,3.3,0,0,2,0,36.7,NRB
5.45,2.6,4,0,0,0,42.4,NRB
5.11,2.58,0,0,0,0,47.1,NRB
4.93,1.74,0,0,0,0,45,NRB
5.08,2.46,0,0,0,0,48.3,NRB
5.46,3.14,1,0,2,0,41.7,NRB
5.35,2.99,1,0,2,0,40,NRB
5.35,2.98,1,0,2,0,40,NRB
5.16,2.54,0,0,0,0,46.4,NRB
5.16,2.98,1,0,0,0,26.7,NRB
4.8,1.78,2,0,5,0,39.4,NRB
4.56,2.93,0,1,0,0,33.3,NRB
5.06,4.03,0,0,0,0,26.3,NRB
4.81,2.77,2,0,0,0,26.3,NRB
5.09,2.06,0,0,3,0,51.5,NRB
5.05,1.62,4,2,16,0,41.9,NRB
3.62,3.42,0,0,0,0,44.4,NRB
5.39,2.77,1,0,3,0,41.7,NRB
5.32,2.67,2,0,0,0,36.4,NRB
5.31,2.24,0,0,11,0,36.2,NRB
4.84,2.79,0,0,1,0,34.4,NRB
3.62,2.32,2,0,0,0,27.3,NRB
3,1.74,1,0,0,0,25,NRB
5.05,3.53,0,0,2,0,30,NRB
4.88,2.85,0,0,2,0,30,NRB
4.95,3.41,0,0,2,0,40,NRB
5.42,3.18,10,0,0,0,54.5,NRB
3.8,2.45,0,0,0,0,30.4,RB
3,2.57,0,0,0,0,28.6,RB
4.41,3.02,0,0,0,0,46.7,RB
3.88,2.73,0,0,2,0,28.6,RB
5.18,3.75,0,0,0,1,34.5,RB
3.92,3.12,0,0,0,0,27.6,RB
3.62,2.45,0,0,0,0,30.8,RB
5.13,3.68,0,0,0,1,30,RB
4.4,3.53,0,0,0,0,30.4,RB
4.56,4.41,0,0,0,0,33.3,RB
4.38,3.14,0,0,0,0,31.6,RB
3.98,2.91,0,0,1,0,33.3,RB
4.73,2.95,2,0,0,0,46.7,RB
4.78,3.31,0,0,0,0,41.2,RB
4.5,2.91,0,0,0,0,43.8,RB
4.9,3.4,0,0,0,0,40.9,RB
4.77,3.09,0,0,0,0,44.4,RB
4.8,3.16,0,0,0,0,44.4,RB
4.88,2.87,0,0,0,0,37.5,RB
4.61,3.14,0,0,2,0,50,RB
5.31,3.4,1,0,0,0,36.8,RB
4.64,3.09,0,0,0,0,44.4,RB
4.93,2.48,0,0,0,0,34.2,RB
3.62,3.46,0,0,0,0,33.3,RB
4.41,3.28,0,0,0,0,41.7,RB
3.73,2.49,0,0,0,0,33.3,RB
4,2.43,1,0,0,0,27.3,RB
3.62,2.24,0,0,1,0,25,RB
3.97,2.86,0,0,0,0,31.4,RB
3.62,2.59,0,0,0,0,23.1,RB
4.23,3.29,0,0,0,0,29.4,RB
4.24,3.07,0,0,1,0,32.8,RB
4.28,3.17,0,0,0,0,30,RB
4.35,3.64,0,0,0,0,31.6,RB
4.66,4,0,0,0,0,31.8,RB
4.23,3.62,0,0,0,0,37.5,RB
4.69,4.01,0,0,0,0,33.3,RB
4.5,3.65,0,0,0,0,32,RB
4.41,3.08,0,0,1,0,42.9,RB
4.68,2.7,0,0,0,0,44,RB
4.52,2.66,0,0,0,0,42.1,RB
4.73,2.34,0,0,0,0,47.1,RB
4.79,2.72,0,0,2,0,40.9,RB
4.95,3.29,0,0,1,0,40,RB
5.31,2.57,0,0,0,1,34.5,RB
4.77,2.88,0,0,0,0,45,RB
5.1,3.17,0,0,0,0,40,RB
4.88,3.98,0,0,0,0,22.7,RB
5.04,2.27,0,0,0,0,50,RB
4.21,3.05,0,0,0,0,23.1,RB
3.88,2.62,1,0,0,0,30.8,RB
3.73,2.76,0,0,0,0,25,RB
4.24,3.08,0,0,0,0,33.3,RB
4.35,3.01,0,0,0,0,31.7,RB
4.34,3.39,0,0,0,0,28.6,RB
4.34,3.65,0,0,0,0,31.3,RB
5.42,4.9,0,0,0,1,28.6,RB
4.95,4.43,0,0,0,0,25,RB
4.17,2.67,0,0,0,0,26.7,RB
4.84,3.12,0,0,0,0,44.4,RB
4.52,2.77,0,0,2,0,50,RB
4.77,2.5,0,0,0,0,38.5,RB
4.74,2.54,0,0,0,0,35.7,RB
3.62,2.45,0,0,0,0,21.4,RB
4.3,3.18,0,0,0,0,25,RB
3.92,3.21,0,0,0,0,25.9,RB
4.17,3.24,1,0,0,0,25,RB
5.07,2.52,0,0,0,0,36.4,RB
5.09,1.83,0,0,0,0,40,RB
4.91,2.88,0,0,0,0,52.6,RB
4,3.17,0,0,0,0,45.5,RB
4.98,2.08,0,0,0,0,31,RB
6.5,4.64,0,0,0,8,33.3,NRB
6,1.88,6,0,0,3,44.4,NRB
5.44,2.54,5,0,0,1,50,NRB
5.46,2.45,0,2,11,2,40.8,NRB
5.46,2.45,1,2,11,2,40.8,NRB
5.99,2.44,7,0,0,3,45.5,NRB
5.24,2.94,6,0,0,0,33.3,NRB
5.26,5.04,3,0,0,1,14.3,NRB
4.26,3.35,0,0,2,0,25.8,NRB
4.3,3.47,0,0,0,0,21.4,NRB
5.32,4.49,2,0,0,1,30,NRB
4.9,3.52,1,0,2,0,37.5,NRB
4.92,3.56,0,0,3,0,35,NRB
4.86,3.35,1,0,0,0,40,NRB
4.85,3.18,1,0,0,0,40,NRB
4.92,3.54,0,0,5,0,41.2,NRB
4.73,3.39,0,0,0,0,50,NRB
4.92,1.14,0,0,2,0,41,NRB
5.3,1.74,0,0,6,0,33.3,NRB
5.22,2.62,0,0,0,0,50,NRB
5.02,2.36,0,0,0,0,40.9,NRB
6.29,7.45,0,0,0,9,30.6,NRB
5.22,4.36,1,0,0,0,29.1,NRB
4.38,2.89,1,0,0,0,28.6,NRB
4.73,3.17,0,0,0,0,42.9,NRB
4.52,2.66,1,0,0,0,44.4,NRB
4.73,3.22,1,0,0,0,46.7,NRB
4.56,3.11,1,0,0,0,46.7,NRB
4.77,3.05,1,0,0,0,47.4,NRB
4.82,2.94,0,0,1,0,38.5,NRB
4.81,3.35,2,0,1,0,42.9,NRB
4.97,3.53,3,0,1,0,42.9,NRB
5,2.6,0,1,6,0,48,NRB
4.99,2.27,0,0,0,0,35.8,NRB
5.01,3.79,0,0,2,0,35.3,NRB
4.81,3.32,1,0,0,0,43.8,NRB
4.94,3.53,3,0,0,0,46.2,NRB
4.94,3.51,3,0,0,0,46.2,NRB
4.96,2.27,2,0,0,0,41.7,NRB
4.8,1.77,0,0,6,0,50,NRB
5.43,2.4,0,0,0,2,42.9,NRB
4.5,2.37,0,0,0,0,40,NRB
4.96,2.47,0,0,0,0,32.3,NRB
5.34,2.29,1,0,0,0,42.9,NRB
5.08,2.41,0,0,0,0,47.1,NRB
5.51,2.44,0,0,0,1,46.9,NRB
5,2.96,1,0,0,0,55.6,NRB
5.03,2.93,0,0,0,0,50,NRB
5.38,2.25,0,0,0,1,50,NRB
5.32,2.37,1,0,0,0,58.3,NRB
4.91,2.84,1,0,0,0,52.6,NRB
5.01,2.69,0,0,2,0,54.5,NRB
5.01,2.39,1,0,0,0,46.9,NRB
4.95,2.61,3,0,0,0,50,NRB
4.52,3.73,2,0,0,0,28.6,NRB
4.77,3.35,0,0,2,0,37.5,NRB
4.97,3.04,0,0,2,0,38.7,NRB
5.38,2.29,0,0,0,0,60.7,NRB
4.38,2.21,0,0,2,0,32.4,NRB
4.8,3.06,1,0,1,0,50,NRB
4.17,2.76,2,0,0,0,27.3,NRB
6.27,7.15,0,0,0,8,30.3,NRB
5.54,3.73,4,0,4,1,31,NRB
5.12,2.64,0,0,0,0,60,NRB
5.67,2.25,1,0,0,1,54.3,NRB
4.48,3.68,0,0,0,0,24,NRB
4.21,3.47,0,0,1,0,23.1,NRB
5.25,4.26,3,0,0,0,20.8,NRB
4.95,1.92,0,0,4,0,38.9,NRB
4.75,1.7,0,0,2,0,38.9,NRB
5.37,3.57,1,0,3,0,35,NRB
5.33,2.1,1,0,0,0,41.5,NRB
5.31,3.43,1,0,2,0,35.3,NRB
5.19,2.15,0,0,0,0,43.5,NRB
5.39,2.83,3,1,3,0,37,NRB
4.3,2.66,1,0,0,0,25,NRB
4.84,3.24,0,0,0,0,41.2,NRB
4,2.3,0,0,0,0,26.7,NRB
5.29,3.41,0,0,6,0,27.3,NRB
5.41,2.13,1,0,7,0,43.9,NRB
4.87,3.03,0,0,1,0,34.8,NRB
3.62,2.85,2,0,0,0,33.3,NRB
3.73,2.6,0,0,0,0,23.5,NRB
4.63,3.94,0,0,0,0,31.3,NRB
3.88,2.96,0,0,0,0,33.3,NRB
4.71,4.14,4,0,2,0,25,NRB
5.33,5.87,7,0,0,0,25.7,NRB
5.09,2.47,1,0,0,1,30.8,NRB
4.69,4.77,0,0,4,0,26.9,NRB
4.5,2.96,0,0,1,0,41.2,NRB
4.9,3.09,0,0,1,0,40.9,NRB
4.76,1.8,0,0,4,0,50,NRB
4.59,2.71,0,0,2,0,39.1,NRB
5.56,4.62,0,0,9,1,33.3,NRB
5.37,3.24,0,0,0,1,39.3,NRB
4.9,2.51,2,0,1,0,48,NRB
4.81,3.44,0,0,1,0,38.9,NRB
4.97,3.6,0,0,2,0,35,NRB
4.56,3.2,1,0,0,0,46.2,NRB
5.42,3.24,0,0,0,4,34.5,NRB
5.78,2.32,0,0,0,2,33.3,NRB
5.26,2.62,0,0,0,1,34.6,NRB
4.93,1.95,0,0,0,0,56.3,NRB
5,2.91,0,0,0,0,52.4,NRB
4.73,2.18,0,0,0,0,48.1,NRB
5.17,2.52,0,0,1,0,42.9,NRB
4.92,2.4,0,0,0,0,45.2,NRB
5.51,3.25,2,0,2,0,35.7,NRB
4.86,1.93,0,0,0,0,35.7,NRB
5.74,1.99,0,0,0,2,35.3,NRB
5.05,2.52,0,0,0,0,58.3,NRB
5.32,2.36,0,0,2,0,53.8,NRB
5.41,2.35,0,0,6,0,43.5,NRB
4.8,3.14,0,2,4,0,42.9,NRB
5.69,2.31,0,0,8,1,48.4,NRB
4,2.98,1,0,0,0,22.2,NRB
4.56,3.28,4,0,0,0,25,NRB
5.26,4.27,2,0,0,1,25,NRB
4.3,3.16,2,0,0,0,33.3,NRB
6.24,9.18,0,0,3,12,30,NRB
3.8,2.87,2,0,0,0,26.7,NRB
4.23,3.13,0,0,0,0,26.3,NRB
5.13,3.59,0,0,0,1,32.1,NRB
5.09,3.96,3,0,0,1,28.6,NRB
4.24,2.97,0,0,1,0,31.9,NRB
4.3,3.68,1,0,0,0,15.4,NRB
5.26,4.52,1,0,0,0,28.3,NRB
6.25,7.13,0,0,0,7,30.8,NRB
4.81,3.17,0,0,0,0,42.9,NRB
5.24,3.78,5,0,0,0,46.7,NRB
4.56,3.13,0,0,2,0,37.5,NRB
4.66,2.94,0,0,2,0,38.1,NRB
5.39,3.31,0,0,0,1,39.3,NRB
4.97,3.38,0,0,0,0,40.9,NRB
5.4,3.42,0,0,0,1,38.7,NRB
4.81,3.32,1,0,0,0,43.8,NRB
4.61,3,1,0,0,0,41.2,NRB
5.31,2.78,0,0,0,1,40,NRB
5.1,3.92,0,0,4,0,35,NRB
5.27,3.34,2,0,6,0,35.3,NRB
5.03,2.6,0,0,0,0,46.7,NRB
5.43,2.9,0,0,0,2,32.1,NRB
5.29,3.37,0,0,9,0,35.3,NRB
4.87,1.77,0,1,9,0,44.4,NRB
5.16,1.69,2,0,36,0,56.1,NRB
5.08,2.66,2,0,0,0,54.5,NRB
