Study,Run,vconst_corr,vconst_2,vconst_3,vconst_4,vconst_5,class
3,135,0.06,0.15,0.67,0.65,0.34,Exito
3,136,0.68,0.64,0.86,0.69,0.50,Exito
3,137,0.43,0.07,0.40,0.54,0.00,Exito
3,138,0.04,0.82,0.86,0.20,0.47,Exito
3,139,0.32,0.49,0.68,0.22,0.15,Exito
3,140,0.63,0.22,0.78,0.83,0.79,Exito
3,141,0.65,0.97,0.09,0.16,0.04,Exito
3,142,0.50,0.42,0.12,0.39,0.46,Exito
3,143,0.09,0.13,0.17,0.40,0.80,Exito
3,144,0.86,0.71,0.92,0.30,0.96,Exito
3,145,0.29,0.86,0.54,0.61,0.03,Exito
3,146,0.60,0.97,0.51,0.66,0.12,Exito
3,147,0.15,0.32,0.38,0.15,0.57,Exito
3,148,0.53,0.91,0.99,0.72,0.14,Fracaso
3,149,0.38,0.11,0.59,0.26,0.92,Exito
3,150,0.18,0.12,0.59,0.62,0.80,Exito
3,151,0.99,0.29,0.32,0.99,0.78,Exito
3,152,0.07,0.79,0.61,0.27,0.74,Exito
3,153,0.36,0.52,0.00,0.07,0.26,Exito
3,154,0.53,0.27,0.16,0.64,0.90,Exito
3,155,0.58,0.77,0.33,0.03,0.31,Fracaso
3,156,0.63,0.66,0.74,0.91,0.49,Exito
3,157,0.55,0.09,0.08,0.58,0.07,Exito
3,158,0.79,0.23,0.02,0.47,0.62,Exito
3,159,0.75,0.93,0.19,0.23,0.78,Exito
3,160,0.58,0.23,0.96,0.18,0.55,Exito
3,161,0.61,0.53,0.52,0.77,0.54,Exito
3,162,0.36,0.92,0.22,0.14,0.30,Exito
3,163,0.27,0.32,0.99,0.88,0.05,Exito
3,164,0.77,0.68,0.94,0.35,0.58,Exito
3,165,0.23,0.14,0.71,0.30,0.40,Exito
3,166,0.84,0.88,0.27,0.58,0.16,Fracaso
3,167,0.41,0.24,0.01,0.93,0.89,Exito
3,168,0.08,0.70,0.41,0.34,0.32,Exito
3,169,0.30,0.43,0.67,0.44,0.01,Exito
3,170,0.98,0.45,0.23,0.63,0.88,Exito
3,171,0.43,0.18,0.24,0.56,0.14,Exito
3,172,0.57,0.71,0.83,0.80,0.52,Exito
3,173,0.94,0.67,0.62,0.37,0.85,Fracaso
3,174,0.31,0.62,0.37,0.06,0.39,Exito
3,175,0.19,0.45,0.30,0.02,0.69,Exito
3,176,0.66,0.49,0.13,0.41,0.09,Exito
3,177,0.92,0.84,0.52,0.09,0.34,Fracaso
3,178,0.48,0.94,0.77,0.95,0.19,Exito
3,179,0.01,0.78,0.87,0.70,0.98,Exito
3,180,0.61,0.03,0.60,0.79,0.15,Exito
